Year,State,State ANSI,Data Item,Value
2019,ALABAMA,1,"HONEY - PRODUCTION, MEASURED IN $",941000
2019,ALABAMA,1,"HONEY - PRODUCTION, MEASURED IN LB",294000
2019,ALABAMA,1,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",42
2019,ARIZONA,4,"HONEY - PRODUCTION, MEASURED IN $",2084000
2019,ARIZONA,4,"HONEY - PRODUCTION, MEASURED IN LB",1058000
2019,ARIZONA,4,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",46
2019,ARKANSAS,5,"HONEY - PRODUCTION, MEASURED IN $",1683000
2019,ARKANSAS,5,"HONEY - PRODUCTION, MEASURED IN LB",1100000
2019,ARKANSAS,5,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",55
2019,CALIFORNIA,6,"HONEY - PRODUCTION, MEASURED IN $",25085000
2019,CALIFORNIA,6,"HONEY - PRODUCTION, MEASURED IN LB",16080000
2019,CALIFORNIA,6,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",48
2019,COLORADO,8,"HONEY - PRODUCTION, MEASURED IN $",3150000
2019,COLORADO,8,"HONEY - PRODUCTION, MEASURED IN LB",1472000
2019,COLORADO,8,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",46
2019,FLORIDA,12,"HONEY - PRODUCTION, MEASURED IN $",22878000
2019,FLORIDA,12,"HONEY - PRODUCTION, MEASURED IN LB",9225000
2019,FLORIDA,12,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",45
2019,GEORGIA,13,"HONEY - PRODUCTION, MEASURED IN $",8785000
2019,GEORGIA,13,"HONEY - PRODUCTION, MEASURED IN LB",3366000
2019,GEORGIA,13,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",33
2019,HAWAII,15,"HONEY - PRODUCTION, MEASURED IN $",1638000
2019,HAWAII,15,"HONEY - PRODUCTION, MEASURED IN LB",1280000
2019,HAWAII,15,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",80
2019,IDAHO,16,"HONEY - PRODUCTION, MEASURED IN $",4916000
2019,IDAHO,16,"HONEY - PRODUCTION, MEASURED IN LB",2944000
2019,IDAHO,16,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",32
2019,ILLINOIS,17,"HONEY - PRODUCTION, MEASURED IN $",1849000
2019,ILLINOIS,17,"HONEY - PRODUCTION, MEASURED IN LB",429000
2019,ILLINOIS,17,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",39
2019,INDIANA,18,"HONEY - PRODUCTION, MEASURED IN $",1955000
2019,INDIANA,18,"HONEY - PRODUCTION, MEASURED IN LB",495000
2019,INDIANA,18,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",55
2019,IOWA,19,"HONEY - PRODUCTION, MEASURED IN $",4682000
2019,IOWA,19,"HONEY - PRODUCTION, MEASURED IN LB",2090000
2019,IOWA,19,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",55
2019,KANSAS,20,"HONEY - PRODUCTION, MEASURED IN $",1631000
2019,KANSAS,20,"HONEY - PRODUCTION, MEASURED IN LB",553000
2019,KANSAS,20,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",79
2019,KENTUCKY,21,"HONEY - PRODUCTION, MEASURED IN $",1107000
2019,KENTUCKY,21,"HONEY - PRODUCTION, MEASURED IN LB",246000
2019,KENTUCKY,21,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",41
2019,LOUISIANA,22,"HONEY - PRODUCTION, MEASURED IN $",7932000
2019,LOUISIANA,22,"HONEY - PRODUCTION, MEASURED IN LB",3888000
2019,LOUISIANA,22,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",72
2019,MAINE,23,"HONEY - PRODUCTION, MEASURED IN $",1533000
2019,MAINE,23,"HONEY - PRODUCTION, MEASURED IN LB",525000
2019,MAINE,23,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",35
2019,MICHIGAN,26,"HONEY - PRODUCTION, MEASURED IN $",11092000
2019,MICHIGAN,26,"HONEY - PRODUCTION, MEASURED IN LB",4700000
2019,MICHIGAN,26,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",50
2019,MINNESOTA,27,"HONEY - PRODUCTION, MEASURED IN $",11348000
2019,MINNESOTA,27,"HONEY - PRODUCTION, MEASURED IN LB",6962000
2019,MINNESOTA,27,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",59
2019,MISSISSIPPI,28,"HONEY - PRODUCTION, MEASURED IN $",3256000
2019,MISSISSIPPI,28,"HONEY - PRODUCTION, MEASURED IN LB",1760000
2019,MISSISSIPPI,28,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",80
2019,MISSOURI,29,"HONEY - PRODUCTION, MEASURED IN $",1428000
2019,MISSOURI,29,"HONEY - PRODUCTION, MEASURED IN LB",430000
2019,MISSOURI,29,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",43
2019,MONTANA,30,"HONEY - PRODUCTION, MEASURED IN $",22019000
2019,MONTANA,30,"HONEY - PRODUCTION, MEASURED IN LB",14878000
2019,MONTANA,30,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",86
2019,NEBRASKA,31,"HONEY - PRODUCTION, MEASURED IN $",2961000
2019,NEBRASKA,31,"HONEY - PRODUCTION, MEASURED IN LB",2028000
2019,NEBRASKA,31,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",52
2019,NEW JERSEY,34,"HONEY - PRODUCTION, MEASURED IN $",1399000
2019,NEW JERSEY,34,"HONEY - PRODUCTION, MEASURED IN LB",420000
2019,NEW JERSEY,34,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",28
2019,NEW YORK,36,"HONEY - PRODUCTION, MEASURED IN $",15365000
2019,NEW YORK,36,"HONEY - PRODUCTION, MEASURED IN LB",3422000
2019,NEW YORK,36,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",58
2019,NORTH CAROLINA,37,"HONEY - PRODUCTION, MEASURED IN $",2387000
2019,NORTH CAROLINA,37,"HONEY - PRODUCTION, MEASURED IN LB",588000
2019,NORTH CAROLINA,37,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",42
2019,NORTH DAKOTA,38,"HONEY - PRODUCTION, MEASURED IN $",47320000
2019,NORTH DAKOTA,38,"HONEY - PRODUCTION, MEASURED IN LB",33800000
2019,NORTH DAKOTA,38,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",65
2019,OHIO,39,"HONEY - PRODUCTION, MEASURED IN $",3437000
2019,OHIO,39,"HONEY - PRODUCTION, MEASURED IN LB",1005000
2019,OHIO,39,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",67
2019,OREGON,41,"HONEY - PRODUCTION, MEASURED IN $",5763000
2019,OREGON,41,"HONEY - PRODUCTION, MEASURED IN LB",2784000
2019,OREGON,41,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",32
2019,OTHER STATES,,"HONEY - PRODUCTION, MEASURED IN $",8380000
2019,OTHER STATES,,"HONEY - PRODUCTION, MEASURED IN LB",1418000
2019,OTHER STATES,,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",47
2019,PENNSYLVANIA,42,"HONEY - PRODUCTION, MEASURED IN $",4028000
2019,PENNSYLVANIA,42,"HONEY - PRODUCTION, MEASURED IN LB",950000
